[Simulation].RunIndex(1)	[Simulation].RunIndex(2)	[BaristaQ].AverageQueueTime
		s
1.0	1.0	1714.608453106534
1.0	2.0	3546.100809718386
1.0	3.0	3328.066109015383
1.0	4.0	1052.882972763081
1.0	5.0	2501.9504376848936
1.0	6.0	2072.614537137931
1.0	7.0	2123.6845952049366
1.0	8.0	3149.5567356756
1.0	9.0	2914.69433003626
1.0	10.0	2854.8456767985817
1.0	11.0	3875.240238466669
1.0	12.0	2834.2365924879027
1.0	13.0	2099.04877197787
1.0	14.0	1508.8494359448594
1.0	15.0	2860.1619741885734
1.0	16.0	1570.7306996865022
1.0	17.0	1514.3510498377198
1.0	18.0	2789.2443296279976
1.0	19.0	2717.783650290277
1.0	20.0	2528.3706302760597
1.0	21.0	1250.4342739555575
1.0	22.0	1761.4379532870103
1.0	23.0	1660.193165491804
1.0	24.0	2509.119691714086
1.0	25.0	2275.5491588098703
1.0	26.0	2549.937813768785
1.0	27.0	2463.003125057974
1.0	28.0	3135.838854706647
1.0	29.0	2534.547853125174
1.0	30.0	1587.8602761563911
1.0	31.0	2883.757556810129
1.0	32.0	1785.3503368214272
1.0	33.0	2580.8335950650653
1.0	34.0	4010.417988155238
1.0	35.0	1471.2419823044775
1.0	36.0	2323.71843325169
1.0	37.0	1923.7389150201732
1.0	38.0	1871.350253268474
1.0	39.0	3025.2304548265724
1.0	40.0	3815.9353253874133
1.0	41.0	2455.0609592936034
1.0	42.0	929.8427995791925
1.0	43.0	3096.45191504762
1.0	44.0	910.4592973855615
1.0	45.0	1397.8807848524366
1.0	46.0	2139.099268743145
1.0	47.0	2752.3641837918403
1.0	48.0	2186.4280569280377
1.0	49.0	2251.9901871067277
1.0	50.0	2084.81693057932
1.0	51.0	1999.4300765505582
1.0	52.0	2545.478569553008
1.0	53.0	2533.7615801810725
1.0	54.0	2714.3989422267628
1.0	55.0	2951.4553397219856
1.0	56.0	2319.739143040115
1.0	57.0	3197.5068093923883
1.0	58.0	779.07345666563
1.0	59.0	2526.306984265805
1.0	60.0	2486.913194232915
1.0	61.0	1952.4839026275656
1.0	62.0	2300.4319737599367
1.0	63.0	2834.812926560222
1.0	64.0	2812.3174862991696
1.0	65.0	2549.2036458797666
1.0	66.0	1952.5962891683325
1.0	67.0	2148.9302760825935
1.0	68.0	1885.249740110604
1.0	69.0	2683.4789484062935
1.0	70.0	956.0027402930518
1.0	71.0	2430.4547248474814
1.0	72.0	2383.9296821642424
1.0	73.0	3495.35442901181
1.0	74.0	1963.3503179299985
1.0	75.0	2312.3035765160334
1.0	76.0	3180.9821308232713
1.0	77.0	2739.0590809599403
1.0	78.0	2079.4353427110427
1.0	79.0	2437.588772572027
1.0	80.0	2716.8666041384618
1.0	81.0	1049.9795332593158
1.0	82.0	1442.1808284751132
1.0	83.0	1894.2241498384735
1.0	84.0	2371.2554299828316
1.0	85.0	2055.9977741244293
1.0	86.0	2375.2445757561686
1.0	87.0	3039.5893928804326
1.0	88.0	2730.626984554635
1.0	89.0	2987.4547587584784
1.0	90.0	2626.1789123121393
1.0	91.0	2186.647426333338
1.0	92.0	1404.1214169629616
1.0	93.0	1477.7542700474837
1.0	94.0	1473.162925872991
1.0	95.0	2728.1265880155597
1.0	96.0	2583.517685564494
1.0	97.0	3131.2011001238916
1.0	98.0	3867.44935821245
1.0	99.0	2828.830798720795
1.0	100.0	1809.037250900289
2.0	1.0	17.113110977272708
2.0	2.0	28.915268949152562
2.0	3.0	19.186816730069918
2.0	4.0	12.983821421511651
2.0	5.0	22.064834254676246
2.0	6.0	15.668712799100438
2.0	7.0	20.225338311046503
2.0	8.0	17.252600193229885
2.0	9.0	22.156684504881444
2.0	10.0	18.566836860992918
2.0	11.0	27.403138097959147
2.0	12.0	15.82946220967745
2.0	13.0	24.25457108022129
2.0	14.0	19.975664818181826
2.0	15.0	20.786982318571443
2.0	16.0	13.915655432510885
2.0	17.0	22.00319512865496
2.0	18.0	26.02574292133334
2.0	19.0	27.190807761973854
2.0	20.0	18.272803222535188
2.0	21.0	17.424624619259244
2.0	22.0	15.711927039274917
2.0	23.0	12.436103432190793
2.0	24.0	16.313333323943645
2.0	25.0	17.88927932220608
2.0	26.0	29.691394723988445
2.0	27.0	16.192733101449303
2.0	28.0	22.848059121387283
2.0	29.0	15.881971285513325
2.0	30.0	14.616347448120289
2.0	31.0	18.779434631504945
2.0	32.0	12.180369345238091
2.0	33.0	32.71047969589813
2.0	34.0	22.015518517464432
2.0	35.0	13.547553329850759
2.0	36.0	18.98131309336942
2.0	37.0	12.35380135590779
2.0	38.0	16.269961031674228
2.0	39.0	18.81314363076924
2.0	40.0	27.82392300699301
2.0	41.0	15.452009797965138
2.0	42.0	8.99948925310559
2.0	43.0	16.38472411640212
2.0	44.0	11.961402950844866
2.0	45.0	12.84422108452728
2.0	46.0	14.816393809523795
2.0	47.0	26.973856637130794
2.0	48.0	13.334857142428726
2.0	49.0	22.553040792397642
2.0	50.0	14.337683705382439
2.0	51.0	21.460839578651672
2.0	52.0	15.068021595988547
2.0	53.0	16.333510968449932
2.0	54.0	22.034819842253565
2.0	55.0	15.545908012765944
2.0	56.0	27.252552330945573
2.0	57.0	25.18024136163982
2.0	58.0	17.44910194712283
2.0	59.0	15.661211510057482
2.0	60.0	13.655383418410022
2.0	61.0	14.225056173020533
2.0	62.0	20.59586867278286
2.0	63.0	11.022335746498605
2.0	64.0	16.513702921052655
2.0	65.0	24.97134487683285
2.0	66.0	21.069782659058415
2.0	67.0	16.385277643067813
2.0	68.0	13.710904025757602
2.0	69.0	16.617152726752526
2.0	70.0	11.878868925981905
2.0	71.0	17.249846037410045
2.0	72.0	14.338653386627898
2.0	73.0	23.816867410761194
2.0	74.0	13.743909435714258
2.0	75.0	14.503178932944605
2.0	76.0	18.06177845066276
2.0	77.0	14.660684916913945
2.0	78.0	17.938811850226948
2.0	79.0	15.783340980419576
2.0	80.0	17.044651078321667
2.0	81.0	11.849066642324905
2.0	82.0	12.707994342383127
2.0	83.0	14.032508481644637
2.0	84.0	14.05568464091558
2.0	85.0	15.427845766312608
2.0	86.0	21.46775600000002
2.0	87.0	20.828103020380453
2.0	88.0	21.93876567911478
2.0	89.0	22.54952479511529
2.0	90.0	23.878355290462498
2.0	91.0	11.47356501978698
2.0	92.0	10.09516102666665
2.0	93.0	13.967875358273394
2.0	94.0	15.111182264233529
2.0	95.0	16.825985312588486
2.0	96.0	14.527345879334298
2.0	97.0	19.64176947345131
2.0	98.0	32.27316738024354
2.0	99.0	22.55924620655269
2.0	100.0	16.620700449422
3.0	1.0	2.789313620738615
